wkt,limite_inferior_rango_db,limite_superior_rango_db,comuna,leyenda,rango_db,color,periodo
"MULTIPOLYGON (((-58.3714231269834 -34.5785522354354,-58.3715031942322 -34.5784861314365,-58.3714877571416 -34.5784849131778,-58.37142314226 -34.5785382603329,-58.3714231269834 -34.5785522354354)),((-58.3680007150571 -34.5803810166556,-58.3680078094458 -34.5803751213562,-58.3679907002549 -34.5803751080813,-58.3679850706072 -34.5803797860713,-58.3680007150571 -34.5803810166556)),((-58.3663415579204 -34.581519098207,-58.3663414795217 -34.581519033241,-58.3663274699954 -34.5815179125007,-58.3663275788814 -34.5815180036327,-58.3663415579204 -34.581519098207)),((-58.3629585122399 -34.5843490768682,-58.3629569659097 -34.5843469950697,-58.3629144280092 -34.5843437340271,-58.3629151907713 -34.5843457268439,-58.3629152299664 -34.5843457629337,-58.3629585122399 -34.5843490768682)),((-58.3638937381638 -34.5863790905725,-58.3639271209947 -34.5861053750198,-58.3639285766097 -34.5860819206095,-58.3639359775328 -34.5860174192233,-58.3638941593524 -34.5860232492721,-58.3638904914976 -34.5860509612169,-58.3638747437065 -34.5861410929255,-58.3638554970693 -34.586231221797,-58.3638416370404 -34.5863213550275,-58.3638937381638 -34.5863790905725)),((-58.3634506060135 -34.5862226837451,-58.3634508823178 -34.5862222287402,-58.362807092349 -34.5861724783135,-58.3628069700025 -34.5861727035745,-58.3634506060135 -34.5862226837451)),((-58.3618265845886 -34.5874865241365,-58.3618350596743 -34.5874870837267,-58.3618385280227 -34.587491593815,-58.3618864918957 -34.5874916334452,-58.361887118403 -34.5874864145999,-58.3619251216551 -34.5874894027241,-58.3619304875776 -34.5874515627172,-58.3620214169932 -34.5874016003887,-58.3620395555931 -34.5873942902137,-58.3621266684039 -34.5873826793141,-58.3618281493758 -34.5873588060862,-58.3618215945492 -34.5873639172665,-58.361791190869 -34.5874014102467,-58.3618214531551 -34.5874809147139,-58.3618265845886 -34.5874865241365)),((-58.3627267708797 -34.5875524230644,-58.3627269725671 -34.5874923248348,-58.3627262595615 -34.5874306359197,-58.3622776521783 -34.5873947540926,-58.3622807948425 -34.5874018140866,-58.3623664919786 -34.5874444075045,-58.3624754863973 -34.5874481740542,-58.3625072231616 -34.5874921446252,-58.3624912755165 -34.5875339107738,-58.3627267708797 -34.5875524230644)),((-58.366244188263 -34.5913785847382,-58.366244163943 -34.5913785846352,-58.3662417997781 -34.5913821741218,-58.3662418241761 -34.5913821742219,-58.366244188263 -34.5913785847382)),((-58.3669344088157 -34.5915522956889,-58.3669328777621 -34.5915547473161,-58.3669397254435 -34.5915604209683,-58.3670487357235 -34.5915552221954,-58.3671577399521 -34.5915552976682,-58.3672477044565 -34.5915610399533,-58.36724998124 -34.5915575044685,-58.3671723302447 -34.591552383905,-58.3671611765704 -34.591462230791,-58.3671578491691 -34.5914598925451,-58.3671004299924 -34.5914600053306,-58.3670488447323 -34.5914601073372,-58.3670455690065 -34.5914621402298,-58.3670430433925 -34.5914763945843,-58.3670295968574 -34.5915522720918,-58.3669397297079 -34.5915567043188,-58.3669344088157 -34.5915522956889)),((-58.3669265938059 -34.5915460741008,-58.3668308251138 -34.5914698900022,-58.3667218210101 -34.5914698034202,-58.36661281702 -34.5914696184837,-58.3665986716717 -34.5914695081864,-58.3665963991951 -34.5914730680014,-58.3666128129071 -34.5914731909023,-58.366721816907 -34.5914733713317,-58.3668308210154 -34.5914734579136,-58.3669248842594 -34.5915482867052,-58.3669265938059 -34.5915460741008)),((-58.3676957114387 -34.5916488701628,-58.3677114730142 -34.5916559840065,-58.3677026550183 -34.5916488728638,-58.3676957114387 -34.5916488701628)),((-58.3678992739235 -34.5917371860643,-58.3679080401394 -34.5917409636133,-58.3679205592528 -34.5917410166063,-58.36802956333 -34.5917414410606,-58.368138568956 -34.5917404997314,-58.3682311341711 -34.5918236412709,-58.3681869458979 -34.5918611467812,-58.3681897372365 -34.5918623496661,-58.3682353373874 -34.5918236445246,-58.3681385732263 -34.5917367307982,-58.3680295675521 -34.5917377190024,-58.3679205634971 -34.5917372792236,-58.3678992739235 -34.5917371860643)),((-58.3675851318537 -34.5935235317509,-58.3675856658699 -34.5935150270474,-58.3675813000786 -34.5935131720795,-58.3675807889442 -34.5935216849138,-58.3675851318537 -34.5935235317509)),((-58.3634992898588 -34.5964265489673,-58.3635087674385 -34.596423061814,-58.3635230532213 -34.5963827608915,-58.3635169829465 -34.5963777614804,-58.3634992898588 -34.5964265489673)),((-58.3640850966894 -34.5963956851534,-58.3640895966027 -34.5963994135527,-58.3640915675378 -34.5963938595517,-58.3640870567342 -34.5963901221293,-58.3640850966894 -34.5963956851534)),((-58.3549614690576 -34.6195331333644,-58.3549666822765 -34.6195336397101,-58.3549664398136 -34.6195334391043,-58.3549611999923 -34.6195329107403,-58.3549614690576 -34.6195331333644)))",30,35,1,35 dBA o menos,30-35,169 255 115,Diurno
"MULTIPOLYGON (((-58.3714231269834 -34.5785522354354,-58.3714231117057 -34.5785662114393,-58.3715186303293 -34.5784873496149,-58.3715031942322 -34.5784861314365,-58.3714231269834 -34.5785522354354)),((-58.3680007150571 -34.5803810166556,-58.368016357524 -34.5803822470819,-58.3680249175468 -34.5803751346279,-58.3680078094458 -34.5803751213562,-58.3680007150571 -34.5803810166556)),((-58.3663415579204 -34.581519098207,-58.36635553478 -34.581520192778,-58.3663554890484 -34.5815201539798,-58.3663414795217 -34.581519033241,-58.3663415579204 -34.581519098207)),((-58.3629585122399 -34.5843490768682,-58.3630811965881 -34.5843584718666,-58.3630914890971 -34.5843592852575,-58.3630908931303 -34.5843572610274,-58.3629569659097 -34.5843469950697,-58.3629585122399 -34.5843490768682)),((-58.3637498055859 -34.5858588260094,-58.3637059127381 -34.5862419359195,-58.3634508823178 -34.5862222287402,-58.3634506060135 -34.5862226837451,-58.3636144232073 -34.5862354047821,-58.3636260430741 -34.5862364289721,-58.3636356737658 -34.586238531747,-58.363642803866 -34.5862407965544,-58.3636471189383 -34.5862436648475,-58.3636471374432 -34.5862436855958,-58.3636502871275 -34.5862476463952,-58.3636533494498 -34.5862526906332,-58.363653419856 -34.5862527467221,-58.3636534242539 -34.5862527992397,-58.3636534269413 -34.5862528313306,-58.3636559292725 -34.5862582988374,-58.3636559477518 -34.5862583412203,-58.3636567169965 -34.5862668424668,-58.3636554577464 -34.5862771007615,-58.363655452967 -34.5862771429426,-58.3635918080132 -34.5868388489319,-58.3635897113283 -34.5868573533387,-58.3635909222091 -34.5868620183958,-58.3636224268368 -34.5869521884232,-58.363621979767 -34.5870423325061,-58.3636339367173 -34.5871324866569,-58.3636748206645 -34.5871566397858,-58.3637042929354 -34.5872226881904,-58.36376282622 -34.587312880098,-58.3637836173723 -34.587326983823,-58.3637862351327 -34.587329153017,-58.3637892190391 -34.5872909242764,-58.3637986695865 -34.5872078277741,-58.3638101051499 -34.5871144654261,-58.3638539557786 -34.5867274206939,-58.3638682606851 -34.586604051569,-58.3638753158017 -34.5865371069973,-58.3638916029783 -34.5863965218801,-58.3638937381638 -34.5863790905725,-58.3638416370404 -34.5863213550275,-58.3638554970693 -34.586231221797,-58.3638747437065 -34.5861410929255,-58.3638904914976 -34.5860509612169,-58.3638941593524 -34.5860232492721,-58.3639359775328 -34.5860174192233,-58.3639445238173 -34.5859429397708,-58.3639591867828 -34.5858022902152,-58.3639636955518 -34.5857694776723,-58.3638944663368 -34.5857638894793,-58.3638727334138 -34.5857805134522,-58.3637853647896 -34.5858523328827,-58.3637498055859 -34.5858588260094)),((-58.3617634301654 -34.5874823523193,-58.3618265845886 -34.5874865241365,-58.3618214531551 -34.5874809147139,-58.361791190869 -34.5874014102467,-58.3618215945492 -34.5873639172665,-58.3618281493758 -34.5873588060862,-58.3617892374401 -34.5873557002502,-58.3617521976471 -34.5874013779995,-58.3617634301654 -34.5874823523193)),((-58.3627267708797 -34.5875524230644,-58.3631695566802 -34.5875872300693,-58.3631595790635 -34.5876730123914,-58.3631593147889 -34.5876752567723,-58.3631931229041 -34.5876781509355,-58.3631958258141 -34.5876783785004,-58.3632758449129 -34.5876852198733,-58.3632832092058 -34.5876730680925,-58.3632382481632 -34.5876419208108,-58.3632104103971 -34.5875828643319,-58.3631364585371 -34.587492659586,-58.3631551142125 -34.5874649301458,-58.3627262595615 -34.5874306359197,-58.3627269725671 -34.5874923248348,-58.3627267708797 -34.5875524230644)),((-58.366244163943 -34.5913785846352,-58.366244188263 -34.5913785847382,-58.3662465512576 -34.5913749970565,-58.3662465269222 -34.5913749969486,-58.366244163943 -34.5913785846352)),((-58.3669359005563 -34.5915499062305,-58.3669344088157 -34.5915522956889,-58.3669397297079 -34.5915567043188,-58.3670295968574 -34.5915522720918,-58.3670430433925 -34.5914763945843,-58.3670455690065 -34.5914621402298,-58.3670488447323 -34.5914601073372,-58.3671004299924 -34.5914600053306,-58.3671578491691 -34.5914598925451,-58.3671611765704 -34.591462230791,-58.3671723302447 -34.591552383905,-58.36724998124 -34.5915575044685,-58.3672522329081 -34.5915540077262,-58.3672282722973 -34.5915524276828,-58.3672155935953 -34.5914622733807,-58.3671819775753 -34.5914386517815,-58.3671578928584 -34.5914217281516,-58.3670592603554 -34.5914237233115,-58.3670488861903 -34.5914239333301,-58.3670480648051 -34.5914244429035,-58.3670259692074 -34.5914381545725,-58.3670026398876 -34.5914526314973,-58.3669928268882 -34.5914587211679,-58.3669873913408 -34.591462094615,-58.3669830137433 -34.591474440962,-58.3669696042725 -34.5915122559281,-58.3669554347511 -34.5915522139295,-58.3669397339713 -34.5915529885707,-58.3669387843575 -34.5915522008651,-58.3669359005563 -34.5915499062305)),((-58.3665986716717 -34.5914695081864,-58.36661281702 -34.5914696184837,-58.3667218210101 -34.5914698034202,-58.3668308251138 -34.5914698900022,-58.3669265938059 -34.5915460741008,-58.3669283022612 -34.5915438623971,-58.3668308292132 -34.5914663211893,-58.3667218251132 -34.5914662355088,-58.3666128211329 -34.591466046065,-58.3666009779372 -34.5914659502009,-58.3666002376148 -34.5914670565909,-58.3665986716717 -34.5914695081864)),((-58.367687606763 -34.5916452121042,-58.3676957114387 -34.5916488701628,-58.3677026550183 -34.5916488728638,-58.3677114730142 -34.5916559840065,-58.3677236175013 -34.5916614661241,-58.3677238593699 -34.5916615726827,-58.367702659178 -34.5916452184139,-58.367687606763 -34.5916452121042)),((-58.3678905011712 -34.5917334058053,-58.3678992739235 -34.5917371860643,-58.3679205634971 -34.5917372792236,-58.3680295675521 -34.5917377190024,-58.3681385732263 -34.5917367307982,-58.3682353373874 -34.5918236445246,-58.3681897372365 -34.5918623496661,-58.3681925274862 -34.5918635516487,-58.3682395406037 -34.5918236477781,-58.3681449046801 -34.5917334301097,-58.3681385918824 -34.5917202650402,-58.3680938633449 -34.5917333905513,-58.3680295717741 -34.5917339969443,-58.3679205677414 -34.5917335418409,-58.3678905011712 -34.5917334058053)),((-58.3675851318537 -34.5935235317509,-58.3675894464349 -34.593525366847,-58.3675899880791 -34.5935168639523,-58.3675856658699 -34.5935150270474,-58.3675851318537 -34.5935235317509)),((-58.3640779663692 -34.5964159212951,-58.3640838139544 -34.5964157069703,-58.3640895966027 -34.5963994135527,-58.3640850966894 -34.5963956851534,-58.3640779663692 -34.5964159212951)),((-58.3634992898588 -34.5964265489673,-58.3634511056389 -34.5965594133737,-58.3634583159067 -34.5965653874977,-58.3635087674385 -34.596423061814,-58.3634992898588 -34.5964265489673)),((-58.3640012345278 -34.5966337010836,-58.3640051732139 -34.5966372857024,-58.3640763009925 -34.5964368757962,-58.3640713118367 -34.5964348083606,-58.3640012345278 -34.5966337010836)),((-58.3639603675164 -34.5967496909518,-58.3638937504235 -34.5969387642793,-58.3638757459962 -34.5969894847138,-58.363879166688 -34.5969923189164,-58.3639654676853 -34.5967491587199,-58.3639603675164 -34.5967496909518)),((-58.364891921863 -34.6006406479706,-58.3648790712445 -34.6007604132283,-58.3649668297017 -34.6007973777864,-58.3649916100669 -34.6007453771918,-58.3649918192025 -34.6006552331148,-58.3649670301408 -34.6006262706495,-58.364891921863 -34.6006406479706)),((-58.3648008313867 -34.6014896444097,-58.3647997115227 -34.6015000822133,-58.3647881932992 -34.6016073716503,-58.3647633511401 -34.6018389124068,-58.3648565488888 -34.601875534349,-58.3649402305675 -34.6018330632628,-58.3649905538971 -34.601393077127,-58.3649661320457 -34.6013929286621,-58.3649460094593 -34.6013763503427,-58.3648826247158 -34.6012861553116,-58.3648572731041 -34.6012580144914,-58.3648457094056 -34.6012861257128,-58.3648403534144 -34.6013762656525,-58.364827891673 -34.6014663998913,-58.3648008313867 -34.6014896444097)),((-58.3638875535373 -34.6096353920824,-58.3638562747424 -34.6099102666158,-58.36385620451 -34.6099391685625,-58.3638645179351 -34.6100293194036,-58.3638656857779 -34.610065076009,-58.3639131566456 -34.6101195029004,-58.3639746456848 -34.6101230205157,-58.3639891387207 -34.6101240535751,-58.3640496166974 -34.6095960310935,-58.3640206390265 -34.6095787252305,-58.3639753037484 -34.6095670915147,-58.3639549781497 -34.6095786721061,-58.3638875535373 -34.6096353920824)),((-58.3632606216495 -34.6152940768891,-58.3632379998316 -34.6154935688113,-58.3632378786453 -34.6154946143832,-58.3632376913172 -34.6154962638661,-58.3632234322134 -34.6156219130083,-58.3632231236981 -34.615624608063,-58.3632073546899 -34.6157637234861,-58.3632020102277 -34.6158108374065,-58.3631947185808 -34.615875139301,-58.3631953561934 -34.6158881394899,-58.3632044605564 -34.6159778185784,-58.3633135962136 -34.6158943990199,-58.3633561029417 -34.6159419151998,-58.3634194895182 -34.6153763996014,-58.3633540602743 -34.615347404697,-58.3633171742166 -34.615257230627,-58.3633143665249 -34.6152481102714,-58.3633124050179 -34.6152572267418,-58.3632606216495 -34.6152940768891)),((-58.3549666822765 -34.6195336397101,-58.355013776099 -34.6195382137933,-58.3549664398136 -34.6195334391043,-58.3549666822765 -34.6195336397101)))",35,40,1,35-40 dBA,35-40,76 230 0,Diurno
